regime,K_gain,A,ρ_att,raw_payoff_bp,p_det,expected_utility_bp
Naive Fed (K=1.00),1.0,0.7,0.25,-8.105821394461245,0.10069960966915903,-7.289568343991079
Naive Fed (K=1.00),1.0,0.7,0.3,-7.736746207259868,0.11958843595638546,-6.811520828942164
Naive Fed (K=1.00),1.0,0.7,0.35,-7.17707768635302,0.13808052299792128,-6.186063045824684
Naive Fed (K=1.00),1.0,0.7,0.4,-6.349236471616836,0.1561842038699821,-5.357586028115106
Naive Fed (K=1.00),1.0,0.7,0.45,-5.138632284002342,0.17390763662158348,-4.244984888024125
Naive Fed (K=1.00),1.0,0.7,0.5,-3.373168482909921,0.1912588079507972,-2.7280202998513707
Naive Fed (K=1.00),1.0,0.7,0.55,-0.7899688545092216,0.20824553680379132,-0.6254613663436727
Naive Fed (K=1.00),1.0,0.7,0.6,3.019841926706353,0.22487547789827633,2.34075353026101
Naive Fed (K=1.00),1.0,0.7,0.65,8.70541901717295,0.2411561251729456,6.60605389898465
Naive Fed (K=1.00),1.0,0.7,0.7,17.323148405423456,0.2570948151644631,12.86945676806455
Naive Fed (K=1.00),1.0,0.7,0.75,30.64643427423894,0.2726987303135223,22.289190559017168
Naive Fed (K=1.00),1.0,0.7,0.8,51.77624130208495,0.28797490220146404,36.86598327675763
Naive Fed (K=1.00),1.0,0.7,0.85,86.44301143917482,0.30293021471891335,60.25681142295611
Naive Fed (K=1.00),1.0,0.7,0.9,146.09227885367756,0.31757140716786225,99.69754828175545
Naive Fed (K=1.00),1.0,0.7,0.95,256.36417361886953,0.3319050772985962,171.2756027573079
Naive Fed (K=1.00),1.0,0.8,0.0,-9.713128630869678,0.0,-9.713128630869678
Naive Fed (K=1.00),1.0,0.8,0.05,-9.752890463083267,0.02734505258771447,-9.486197160488036
Naive Fed (K=1.00),1.0,0.8,0.1,-9.747152957154613,0.05394235327440411,-9.221368588920127
Naive Fed (K=1.00),1.0,0.8,0.15,-9.679793210111844,0.07981234937512494,-8.907226172547436
Naive Fed (K=1.00),1.0,0.8,0.2,-9.528815445552151,0.10497492907202755,-8.528528720014874
Naive Fed (K=1.00),1.0,0.8,0.25,-9.263795879384276,0.12944943670387588,-8.064602721058295
Naive Fed (K=1.00),1.0,0.8,0.3,-8.84199566543985,0.15325468763747285,-7.486918381640977
Naive Fed (K=1.00),1.0,0.8,0.35,-8.202374498689174,0.1764089827324269,-6.7554019573850175
Naive Fed (K=1.00),1.0,0.8,0.4,-7.256270253276389,0.198930122410378,-5.812779523549333
Naive Fed (K=1.00),1.0,0.8,0.45,-5.872722610288393,0.2208354203395002,-4.575817444108068
Naive Fed (K=1.00),1.0,0.8,0.5,-3.855049694754192,0.242141716744801,-2.921581343529891
Naive Fed (K=1.00),1.0,0.8,0.55,-0.90282154801054,0.2628653913544494,-0.6655010084695195
Naive Fed (K=1.00),1.0,0.8,0.6,3.4512479162358325,0.28302237599208635,2.4744675308450303
Naive Fed (K=1.00),1.0,0.8,0.65,9.949050305340517,0.3026281668247973,6.938187449787626
Naive Fed (K=1.00),1.0,0.8,0.7,19.797883891912527,0.3216978362761641,13.428947481037545
Naive Fed (K=1.00),1.0,0.8,0.75,35.02449631341594,0.3402460446135529,23.1075499781942
Naive Fed (K=1.00),1.0,0.8,0.8,59.17284720238281,0.358287051218548,37.97198226603537
Naive Fed (K=1.00),1.0,0.8,0.85,98.79201307334266,0.37583472554919406,61.66254395347053
Naive Fed (K=1.00),1.0,0.8,0.9,166.96260440420295,0.3929025578024766,101.36257007642857
Naive Fed (K=1.00),1.0,0.8,0.95,292.9876269929938,0.40950366928523485,173.00811868418913
Naive Fed (K=1.00),1.0,0.9,0.0,-10.927269709728387,0.0,-10.927269709728387
Naive Fed (K=1.00),1.0,0.9,0.05,-10.972001770968674,0.03448204047311776,-10.593664761831013
